type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,183806.32,C691771226,19391.0,0.0,C1416312719,382572.19,566378.51,0
PAYMENT,521.37,C203378011,0.0,0.0,M42773300,0.0,0.0,0
PAYMENT,3478.18,C1698571270,19853.0,16374.82,M643984524,0.0,0.0,0
PAYMENT,1716.05,C913764937,5769.17,4053.13,M1387429131,0.0,0.0,0
CASH_IN,253129.93,C2017736577,1328499.49,1581629.42,C407484102,2713220.48,2460090.55,0
PAYMENT,24768.57,C677695730,21573.0,0.0,M1730854331,0.0,0.0,0
CASH_OUT,124718.38,C355629677,0.0,0.0,C1090103022,2482527.99,2607246.37,0
PAYMENT,1464.13,C340132482,60483.0,59018.87,M1065400251,0.0,0.0,0
TRANSFER,353783.72,C234084293,0.0,0.0,C1474695154,1639764.23,1993547.95,0
CASH_IN,266999.97,C1187651682,7411271.89,7678271.86,C1593563915,386812.88,119812.91,0
